CÓD. DEP.,DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,CÓDIGO CULTIVO,NOMBRE CIENTIFICO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha),ESTADO FISICO PRODUCCION
5,ANTIOQUIA,5674,SAN VICENTE,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,1400,1400,25200,18,TUBERCULO FRESCO
5,ANTIOQUIA,5148,CARMEN DE VIBORAL,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,900,870,12180,14,TUBERCULO FRESCO
5,ANTIOQUIA,5400,LA UNION,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,709,709,12053,17,TUBERCULO FRESCO
5,ANTIOQUIA,5664,SAN PEDRO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,652,652,14344,22,TUBERCULO FRESCO
5,ANTIOQUIA,5440,MARINILLA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,570,570,8550,15,TUBERCULO FRESCO
5,ANTIOQUIA,5002,ABEJORRAL,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,550,550,8800,16,TUBERCULO FRESCO
5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,540,540,9450,17.5,TUBERCULO FRESCO
5,ANTIOQUIA,5697,SANTUARIO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,500,480,7680,16,TUBERCULO FRESCO
5,ANTIOQUIA,5264,ENTRERRIOS,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,480,480,10560,22,TUBERCULO FRESCO
5,ANTIOQUIA,5086,BELMIRA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,200,200,5000,25,TUBERCULO FRESCO
5,ANTIOQUIA,5756,SONSON,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,125,125,1875,15,TUBERCULO FRESCO
5,ANTIOQUIA,5376,LA CEJA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,100,100,1200,12,TUBERCULO FRESCO
5,ANTIOQUIA,5615,RIONEGRO,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,90,90,1125,12.5,TUBERCULO FRESCO
5,ANTIOQUIA,5206,CONCEPCION,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,70,70,1190,17,TUBERCULO FRESCO
5,ANTIOQUIA,5313,GRANADA,TUBERCULOS Y PLATANOS,PAPA,PAPA,PAPA,111041190320,SOLANUM TUBEROSUM,2006B,70,65,1404,21.6,TUBERCULO FRESCO
